income,raven,ethical,financial,health_safety,recreational,social,self_control,self_regulation
95000,10,1,1.666666667,1,4.333333333,2.833333333,18,100.5
36000,10,2,2.833333333,1,1.833333333,3,59,137
54850,18,2.833333333,4.666666667,1.166666667,2.833333333,3.333333333,53,133
40000,14,1.166666667,1.666666667,2.5,3.166666667,3.166666667,47,82
25000,13,1.666666667,2.5,1.166666667,2.166666667,4.166666667,50,116
5000,12,3,3.333333333,1.833333333,2.5,3.666666667,34,113
35000,4,4,3.166666667,2.166666667,2.833333333,4.333333333,41,91.5
90000,14,3,3.5,2.333333333,3.5,3.666666667,47,125
85000,6,1.5,3.666666667,1.333333333,1.666666667,3.666666667,53,122
20000,12,2.333333333,5,1.666666667,4.666666667,3.5,55,137
40000,5,1,2.333333333,1.166666667,1.666666667,3.5,48,123
90000,10,2,2.5,1.333333333,2,3.5,44,114
65000,6,1.333333333,2.166666667,1,1.5,3.5,52,140
21000,11,1.5,2.666666667,1.166666667,2.666666667,3.5,39,95.5
150000,10,3.333333333,3,2.333333333,3.166666667,4.5,52,130
50000,9,1,2.833333333,1.166666667,4.166666667,5,50,124
45000,4,1.5,1.833333333,1,1.5,3,53,141
90000,17,3.166666667,2.833333333,1.833333333,2.5,3.5,33,78
75000,17,1.666666667,4.166666667,1,1,2.166666667,43,117
65000,7,1.666666667,1.5,2,2.666666667,3.833333333,53,130
1000,11,2.166666667,1.666666667,1.666666667,3.166666667,3.833333333,24,113.5
68000,12,2.833333333,3.166666667,2.166666667,3.833333333,3.166666667,52,144
84000,12,2,3.166666667,1.833333333,3.333333333,4,46,123
30000,11,2.5,3.333333333,2.333333333,3.333333333,3.5,50,117
39000,18,3.833333333,2.666666667,2.833333333,3,3.666666667,49,124
39999,15,1.666666667,1.666666667,1.333333333,2.833333333,2.666666667,41,105.5
65000,10,1.166666667,4.666666667,1.333333333,3.333333333,3.833333333,47,125.5
240000,15,2.5,3,2.333333333,3.166666667,4.666666667,37,107.5
35000,16,1.5,3,1.166666667,2.166666667,4,46,119
23000,15,2,2.333333333,1.166666667,1,5.5,53,133.5
65000,6,1,3.833333333,1.833333333,3.166666667,3.666666667,46,111
40000,2,1.666666667,2.833333333,1.5,1,3.666666667,58,123
18000,1,1,2.5,1.166666667,1.666666667,2.5,43,107
20000,10,2.666666667,4.166666667,2.166666667,4.333333333,3.166666667,39,118
135000,15,1.666666667,2.5,1,3.666666667,4.5,54,134
68000,15,2,2,2.166666667,2.833333333,2.666666667,25,64
40000,12,2.333333333,4.333333333,2.166666667,3,4.333333333,26,113
80000,11,2,2.5,1,2,3.166666667,48,114
25000,10,1,3.166666667,1.833333333,6.333333333,5.833333333,44,120
60000,10,2.166666667,2.666666667,3,5,4.833333333,35,111.5
