,Sex,Race,HouseholdIncome,Race_black,Race_white,ravens.score,self_regulation,Alcohol
s357,1, American Indian or Alaska Native,50000,0,0,12,136,0
s358,0, Black or African American,90000,1,0,10,139,1
s359,0, Asian Indian,76000,0,0,11,107.5,0
s360,1,White,52000,0,1,4,150,0
s362,1,White,53000,0,1,14,145,1
s363,1,White,43000,0,1,10,145,0
s364,0,White,35000,0,1,6,93.5,0
s365,0,White,16000,0,1,15,80,1
s366,0,White,36000,0,1,9,116,1
s368,0,White,25000,0,1,3,125,0
s369,1, Black or African American,55000,1,0,6,133,1
s370,0,White,22000,0,1,12,132,0
s372,0,White,50000,0,1,13,150,0
s373,0, American Indian or Alaska Native,30000,0,0,6,107,0
s374,0,White,18000,0,1,16,69,1
s375,0,White,65000,0,1,7,116,1
s376,0,White,82000,0,1,12,115,1
s377,0,White,20000,0,1,11,149,1
s378,0,White,60000,0,1,12,128,1
s379,1,White,69000,0,1,12,139,1
s380,1,White,63000,0,1,16,126,0
s381,0,White,30000,0,1,12,116,1
s383,1,White,90000,0,1,13,118,1
s384,0,White,15000,0,1,10,96,1
s386,1,White,19000,0,1,3,98.5,0
s387,1,White,54000,0,1,11,119,0
s388,1,White,125000,0,1,8,117,1
s389,1,White,35000,0,1,15,111,0
s390,1,White,12000,0,1,12,81,1
s391,0,White,50000,0,1,7,137,0
s392,0,White,42000,0,1,14,125,0
s393,1,White,25000,0,1,12,94,1
s394,1,White,35000,0,1,16,115,1
s395,1,White,15000,0,1,7,123,0
s396,0, Middle Eastern or North African,149000,0,0,18,113,0
s397,0,White,45000,0,1,12,80,1
s398,1, Black or African American,35000,1,0,5,117,1
s399,1, American Indian or Alaska Native,88600,0,0,13,134,1
s400,1,White,55000,0,1,3,132,1
s401,1,White,36000,0,1,7,88,0
s402,1,White,10000,0,1,11,99,0
s403,1,White,32000,0,1,11,73,0
s404,1,White,78000,0,1,5,114,1
s405,1,White,65000,0,1,8,127,0
s406,0,Other,80000,0,0,12,120,1
s407,1,White,43500,0,1,12,89,0
s408,1,White,34000,0,1,3,51,0
s409,1,White,24000,0,1,12,118,0
s410,1,White,30000,0,1,15,117,0
s411,0,White,60000,0,1,16,121,1
s412,0,Other,12000,0,0,8,119,0
s413,0,White,137000,0,1,15,145,0
s414,1,White,65000,0,1,6,120,0
s415,1,White,40000,0,1,10,140,0
s416,0,White,22000,0,1,8,55,1
s418,1,White,15000,0,1,10,120.5,0
s419,1,White,40000,0,1,8,128,1
s420,1,White,95000,0,1,10,100.5,1
s421,1,White,36000,0,1,10,137,0
s422,0,Chinese,54850,0,0,18,133,0
s423,1,White,40000,0,1,14,82,0
s424,1,White,25000,0,1,13,116,1
s425,1,White,5000,0,1,12,113,1
s426,0,White,35000,0,1,4,91.5,0
s427,0,White,90000,0,1,14,125,1
s428,1,White,85000,0,1,6,122,0
s429,0, Black or African American,20000,1,0,12,137,0
s430,1,White,40000,0,1,5,123,1
s431,1,White,90000,0,1,10,114,0
s432,1,White,65000,0,1,6,140,0
s433,1,White,21000,0,1,11,95.5,0
s434,1,White,150000,0,1,10,130,0
s435,1,White,50000,0,1,9,124,0
s436,1,White,45000,0,1,4,141,0
s438,0,White,90000,0,1,17,78,1
s439,0, Native Hawaiian or Other Pacific Islander,75000,0,0,17,117,0
s440,0,White,65000,0,1,7,130,0
s441,0,White,1000,0,1,11,113.5,1
s443,0, Black or African American,68000,1,0,12,144,1
s444,1,White,84000,0,1,12,123,1
